City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Butaritari,KI,3.07,172.79,82.58,73,30,7.85,scattered clouds
84,Saint George,US,37.1,-113.58,98.6,8,1,5.82,clear sky
85,Bethel,US,41.37,-73.41,84.0,39,20,9.17,few clouds
86,Babu,CN,24.42,111.52,75.58,86,1,1.97,clear sky
87,Saint-Augustin,CA,51.23,-58.65,65.23,83,49,17.22,scattered clouds
88,San Cristobal,VE,7.77,-72.22,91.4,49,40,9.17,scattered clouds
89,Serrana,BR,-21.21,-47.6,93.2,15,2,8.05,clear sky
90,Abaza,RU,52.66,90.09,48.09,89,100,5.5,light rain
91,Tuktoyaktuk,CA,69.45,-133.04,39.2,80,75,13.87,broken clouds
92,Beyneu,KZ,45.32,55.2,63.5,34,0,11.45,clear sky
93,Ancud,CL,-41.87,-73.82,52.0,66,100,1.01,overcast clouds
94,Visby,SE,57.64,18.3,64.0,72,100,14.99,overcast clouds
95,Kathu,TH,7.92,98.33,84.0,94,20,5.82,few clouds
96,Upernavik,GL,72.79,-56.15,36.16,75,0,12.93,clear sky
97,Norman Wells,CA,65.28,-126.83,50.0,76,75,2.24,broken clouds
98,Vanimo,PG,-2.67,141.3,78.39,84,34,2.93,moderate rain
99,Chuy,UY,-33.7,-53.46,55.85,84,67,5.41,broken clouds
100,Dingle,PH,11.0,122.67,76.91,87,66,1.34,broken clouds
101,Husavik,IS,66.04,-17.34,41.0,75,40,11.41,scattered clouds
102,Bengkulu,ID,-3.8,102.27,74.52,90,94,4.29,light rain
103,Sawakin,SD,19.11,37.33,93.54,42,3,2.98,clear sky
104,Gravelbourg,CA,49.88,-106.55,74.97,28,3,11.03,clear sky
105,Jumla,NP,29.27,82.18,59.63,67,55,2.17,broken clouds
106,Shimoda,JP,34.67,138.95,79.0,80,27,9.4,scattered clouds
107,Sur,OM,22.57,59.53,79.86,63,0,11.48,clear sky
108,Verkhnyaya Inta,RU,65.98,60.31,47.37,89,84,4.56,broken clouds
109,Kualakapuas,ID,-3.01,114.39,75.2,100,90,3.36,mist
110,Santa Marta,CO,11.24,-74.2,90.0,65,41,8.55,light rain
111,Nabinagar,BD,23.89,90.97,86.0,74,40,4.03,haze
112,Dikson,RU,73.51,80.55,42.15,88,100,11.27,overcast clouds
113,East London,ZA,-33.02,27.91,73.0,59,0,16.55,clear sky
114,Chuhar Kana,PK,31.75,73.8,77.0,88,40,5.82,smoke
115,Huanren,CN,41.26,125.37,54.21,92,12,3.62,few clouds
116,Trairi,BR,-3.28,-39.27,79.02,75,0,14.92,clear sky
117,Vaitape,PF,-16.52,-151.75,78.57,76,81,18.48,broken clouds
118,Ambanja,MG,-13.68,48.45,69.42,83,35,2.68,light rain
119,Avera,US,33.19,-82.53,95.0,46,40,9.17,scattered clouds
120,Kahului,US,20.89,-156.47,89.6,43,40,20.8,scattered clouds
121,Gorontalo,ID,0.54,123.06,74.19,88,19,1.83,few clouds
122,Cockburn Town,TC,21.46,-71.14,82.4,65,40,16.11,scattered clouds
123,Yulara,AU,-25.24,130.99,60.8,29,0,9.17,clear sky
124,Kaitangata,NZ,-46.28,169.85,53.01,64,3,1.99,clear sky
125,Praia Da Vitoria,PT,38.73,-27.07,71.6,78,40,20.83,scattered clouds
126,Tashla,RU,51.77,52.74,50.68,52,1,8.66,clear sky
127,Mineral Wells,US,32.81,-98.11,86.0,62,75,8.05,broken clouds
128,Lodja,CD,-3.48,23.43,76.01,59,45,1.25,scattered clouds
129,South Hill,US,47.14,-122.27,86.0,39,1,4.83,clear sky
130,Saskylakh,RU,71.92,114.08,43.14,93,100,14.67,overcast clouds
131,Qaanaaq,GL,77.48,-69.36,27.12,84,0,3.56,clear sky
132,Talaya,RU,61.38,152.75,46.54,66,78,3.27,broken clouds
133,Albanel,CA,48.88,-72.45,64.4,52,40,13.87,shower rain
134,Tuatapere,NZ,-46.13,167.68,45.0,72,1,11.01,clear sky
135,Luderitz,NA,-26.65,15.16,58.46,71,80,6.51,broken clouds
136,Dong Hoi,VN,17.48,106.6,79.99,82,100,4.47,overcast clouds
137,Rawson,AR,-43.3,-65.1,49.01,51,66,17.38,broken clouds
138,Thompson,CA,55.74,-97.86,57.2,50,40,16.11,light intensity shower rain
139,Quchan,IR,37.11,58.51,58.24,34,0,2.1,clear sky
140,Saint-Pierre,RE,-21.34,55.48,64.4,88,75,8.05,broken clouds
141,Erzin,TR,36.96,36.2,84.99,80,0,2.33,clear sky
142,San Jose,US,37.34,-121.89,82.0,47,5,8.05,clear sky
143,Bonthe,SL,7.53,-12.51,77.63,85,100,6.2,overcast clouds
144,Mackay,AU,-21.15,149.2,62.6,93,75,5.82,broken clouds
145,Flinders,AU,-34.58,150.86,54.0,68,0,1.01,clear sky
146,Aklavik,CA,68.22,-135.01,50.0,71,75,5.82,broken clouds
147,Kunming,CN,25.04,102.72,68.0,100,75,13.42,broken clouds
148,Dawlatabad,AF,36.41,64.91,67.17,25,0,2.46,clear sky
149,Comodoro Rivadavia,AR,-45.87,-67.5,48.2,70,40,2.24,scattered clouds
150,Krasnoselkup,RU,65.7,82.47,44.44,74,60,17.31,broken clouds
151,Erenhot,CN,43.65,111.98,60.53,49,0,4.65,clear sky
152,Byron Bay,AU,-28.65,153.62,62.01,87,83,15.28,broken clouds
153,Paamiut,GL,61.99,-49.67,46.29,93,100,24.74,light rain
154,Phra Phutthabat,TH,14.73,100.8,84.0,90,100,4.76,moderate rain
155,Faya,SA,18.39,42.45,69.8,26,0,8.01,clear sky
156,Shelbyville,US,35.48,-86.46,77.0,88,40,10.67,scattered clouds
157,Flin Flon,CA,54.77,-101.86,60.8,41,20,10.29,few clouds
158,Svetlaya,RU,46.54,138.33,60.91,87,17,4.56,few clouds
159,Sioux Lookout,CA,50.1,-91.92,60.8,55,75,14.99,light intensity shower rain
160,Maine-Soroa,NE,13.21,12.02,83.16,54,0,8.79,clear sky
161,Tabanan,ID,-8.54,115.13,78.8,100,40,5.82,scattered clouds
162,Kisangani,CD,0.52,25.2,71.85,92,82,1.57,light rain
163,Makakilo City,US,21.35,-158.09,84.2,58,75,8.05,broken clouds
164,Katsuura,JP,35.13,140.3,82.0,83,20,8.05,few clouds
165,Gamba,GA,-2.65,10.0,74.46,85,100,11.39,light rain
166,Strezhevoy,RU,60.73,77.59,48.2,87,90,4.47,overcast clouds
167,Port Hawkesbury,CA,45.62,-61.35,77.0,69,75,8.05,broken clouds
168,Palana,RU,59.12,159.97,45.01,77,0,4.85,clear sky
169,Korcula,HR,42.96,17.14,73.4,40,0,1.12,clear sky
170,Muravlenko,RU,63.79,74.52,42.15,71,27,17.47,scattered clouds
171,Mareeba,AU,-17.0,145.43,69.8,83,37,8.05,scattered clouds
172,Mayo,US,38.89,-76.51,87.8,58,75,6.87,broken clouds
173,Marsh Harbour,BS,26.54,-77.06,85.46,70,4,11.23,clear sky
