City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Lusambo,CD,75.58,clear sky,-4.97,23.45,
232,Makurdi,NG,75.47,moderate rain,7.74,8.51,Doo Palace Hotel
234,Sabang,ID,82.63,light rain,5.89,95.32,Hotel Citra
235,Nouakchott,MR,80.6,few clouds,18.09,-15.98,Hôtel Iman
238,Bantogon,PH,77.16,scattered clouds,6.53,124.03,Kalamansig Greenhome
239,Ewa Beach,US,84.2,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
240,Ambon,ID,79.23,light rain,-3.7,128.18,Swiss-Belhotel Ambon
242,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
245,Lorengau,PG,81.72,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
258,Bandarbeyla,SO,75.49,broken clouds,9.49,50.81,REER XOOSHLE GROUP
259,Pombas,CV,84.2,broken clouds,17.15,-25.02,POUSADA O RECANTO
266,Cayenne,GF,86.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
268,Ivanivka,UA,76.46,overcast clouds,46.72,34.55,Спорт Лото
271,Marawi,PH,75.99,broken clouds,8.0,124.29,Salihmaruhom
273,Les Cayes,HT,83.14,light rain,18.2,-73.75,Villa Orphee
275,Tabas,IR,80.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
280,Keti Bandar,PK,82.02,clear sky,24.14,67.45,Haji laloo memon house
281,Pemba,MZ,75.2,few clouds,-12.97,40.52,Guesthouse Samotina
284,Thinadhoo,MV,82.51,scattered clouds,0.53,72.93,
287,Abu Samrah,SY,83.89,clear sky,35.3,37.18,
293,Mahibadhoo,MV,82.67,scattered clouds,3.78,72.97,Omadhoo Inn
294,Manokwari,ID,79.34,few clouds,-0.87,134.08,Swiss Belhotel Manokwari
300,Nichinan,JP,77.76,light rain,31.6,131.37,Guest House Aki
302,Hasaki,JP,77.0,mist,35.73,140.83,Inubosaki Kanko Hotel
303,Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
305,Fare,PF,78.03,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
310,Afua,BR,83.64,broken clouds,-0.16,-50.39,Hotel Dias
314,Tateyama,JP,80.6,few clouds,34.98,139.87,Tateyama Seaside Hotel
319,Dalbandin,PK,78.69,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
324,Maracai,BR,84.38,clear sky,-22.61,-50.67,Hotel Pousada
331,Belmonte,BR,77.0,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
332,Namatanai,PG,80.55,overcast clouds,-3.67,152.43,Namatanai Hotel
343,Ceguaca,HN,82.85,moderate rain,14.8,-88.2,
344,Massaguet,TD,80.6,few clouds,12.48,15.44,Alwatane
345,Bonfim,BR,89.69,overcast clouds,3.08,-59.95,
347,Negombo,LK,80.6,few clouds,7.21,79.84,Hotel Sunset Beach
353,Cagdianao,PH,82.18,few clouds,9.92,125.67,Elago Boarding House
360,Baherden,TM,77.81,clear sky,38.44,57.43,
363,Lazaro Cardenas,MX,85.41,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
365,Bosaso,SO,87.94,broken clouds,11.28,49.18,Red Sea Hotel
369,Tuy Hoa,VN,77.95,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
373,Mucurapo,TT,89.6,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
377,North Platte,US,90.0,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
379,Araure,VE,89.6,light rain,9.56,-69.21,Hotel Las Majaguas
382,Glendive,US,84.0,few clouds,47.11,-104.71,Super 8 by Wyndham Glendive
384,Meulaboh,ID,77.27,moderate rain,4.14,96.13,Kost Pria
385,Mandera,KE,80.01,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
386,Niquelandia,BR,85.8,clear sky,-14.47,-48.46,Hotel Suinã
388,Sorong,ID,78.57,broken clouds,-0.88,131.25,The Waigo Hotel
391,Saint-Georges,GD,87.8,few clouds,12.06,-61.75,Siesta Hotel
392,Melville,US,87.8,light rain,40.79,-73.42,Marriott Melville Long Island
394,Murgab,TM,77.0,clear sky,37.5,61.97,
396,Dzaoudzi,YT,75.2,clear sky,-12.79,45.27,Le Rocher
403,Key Largo,US,87.01,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
404,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
409,Castellammare Del Golfo,IT,77.0,clear sky,38.02,12.89,Cerri Hotel
411,Mana,GF,81.57,clear sky,5.66,-53.78,LE SAMANA
416,Angul,IN,77.67,few clouds,20.85,85.1,Bluebay 08 satkosia Tarava
418,Barahona,DO,78.8,broken clouds,18.21,-71.1,Hotel Caribe
421,Pizarro,CO,79.47,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
428,Tabou,CI,75.88,broken clouds,4.42,-7.35,hotêl doufoulougou
429,Sinnamary,GF,81.54,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
430,Santo Tomas,PH,81.0,broken clouds,14.11,121.14,Microtel by Wyndham Batangas
437,Eenhana,,78.8,broken clouds,-17.47,16.33,Hotel Litu
443,Cabatuan,PH,76.73,broken clouds,10.88,122.49,Tobias Hime
446,Progreso,MX,87.8,broken clouds,21.28,-89.67,Playa Linda Hotel
448,Vila Do Maio,CV,80.6,broken clouds,15.13,-23.22,Residence 'I Delfini'
452,Tiznit,MA,76.28,clear sky,29.58,-9.5,
454,Moussoro,TD,86.04,broken clouds,13.64,16.49,Pharmacie alnadja Moussoro
456,Mawlaik,MM,78.13,scattered clouds,23.63,94.42,AKZ Guest House
459,Shepsi,RU,79.9,scattered clouds,44.04,39.15,Otel' Chayka
460,Sao Filipe,CV,79.65,light rain,14.9,-24.5,Tortuga B&B
462,Tarakan,ID,78.08,few clouds,3.3,117.63,Hotel D' CaLia Tarakan
463,Bardiyah,LY,77.41,clear sky,31.76,25.09,بورتو بردية
467,Fairview,US,87.8,clear sky,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
468,Nara,JP,79.0,light intensity shower rain,34.69,135.8,Guesthouse Nara Komachi
471,Carutapera,BR,79.36,clear sky,-1.2,-46.02,Lidera
477,Petaluma,US,89.01,clear sky,38.23,-122.64,Sheraton Sonoma Wine Country Petaluma
482,Malia,GR,80.6,clear sky,35.28,25.47,Kalypso Hotel
483,Kumluca,TR,85.75,clear sky,36.37,30.29,TurkuazKöy
484,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
486,Kampong Thum,KH,77.23,overcast clouds,12.71,104.89,Sambor Village Hotel
487,La Asuncion,VE,89.6,broken clouds,11.03,-63.86,Colinas de Matasiete
491,Itarema,BR,78.98,clear sky,-2.92,-39.92,Windvillage
492,Kalmunai,LK,80.26,light rain,7.42,81.82,VS Villa
493,Brigantine,US,87.8,few clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
497,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
500,Anloga,GH,77.0,few clouds,5.79,0.9,Dey Lodge
508,Villacarrillo,ES,79.0,clear sky,38.12,-3.08,Hotel Sierra Las Villas
509,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
513,Daniel Flores,CR,75.2,moderate rain,9.34,-83.67,Hotel San Isidro
514,Sao Joao Da Barra,BR,80.6,clear sky,-21.64,-41.05,Pousada Porto De Canoas
520,Lingao,CN,79.7,broken clouds,19.91,109.69,Lingao Ditai Inn
528,Edosaki,JP,77.0,mist,35.95,140.32,Edosaki Business Hotel
529,Ho Chi Minh City,VN,80.6,scattered clouds,10.75,106.67,New World Saigon Hotel
531,Kidal,ML,89.83,broken clouds,18.44,1.41,
533,Qiongshan,CN,77.0,scattered clouds,20.01,110.35,Sun City Restaurant
538,Tay Ninh,VN,78.04,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
542,Bambanglipuro,ID,76.73,broken clouds,-7.95,110.28,Puri Brata
543,Cheyenne,US,84.2,clear sky,41.14,-104.82,The Historic Plains Hotel & Restaurant
550,Portmore,JM,87.01,few clouds,17.97,-76.87,Salmon Way Inn
551,Lasem,ID,77.25,clear sky,-6.69,111.45,Kediaman Bpk Abdul Wakhid Bin Asmu'in
554,Barcarena,BR,77.0,thunderstorm with light rain,-1.51,-48.63,Dos Santos Hotel
555,Sooke,CA,80.01,broken clouds,48.37,-123.73,Sooke Harbour House Hotel & Resort
557,Isabela,PH,79.38,overcast clouds,6.71,121.97,Isawad Resort
559,Pierre,US,86.0,clear sky,44.37,-100.35,Ramkota Hotel
561,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
564,Pulivendla,IN,80.24,clear sky,14.42,78.23,Kothabalaji
566,Banda Aceh,ID,79.74,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
567,Veraval,IN,81.21,broken clouds,20.9,70.37,Lords Inn Somnath
568,Sironj,IN,75.96,clear sky,24.1,77.7,shri shyam palace sironj
569,Biak,ID,76.59,scattered clouds,-0.91,122.88,Kost Ariz
570,Mangai,CD,79.14,scattered clouds,-4.05,19.53,
572,Guanica,PR,84.99,light rain,17.97,-66.91,Copamarina Beach Resort & Spa
585,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
586,Cam Ranh,VN,80.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
587,Faanui,PF,77.74,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
594,Claresholm,CA,84.99,scattered clouds,50.03,-113.59,Bluebird Motel
598,Wenling,CN,80.01,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
601,Abu Kamal,SY,85.03,clear sky,34.45,40.92,محطة التلفاز
603,Matoury,GF,86.0,clear sky,4.85,-52.33,Hôtel La Marmotte
605,Pochutla,MX,86.0,overcast clouds,15.74,-96.47,Hotel Posada San Jose
607,Hagdan,PH,83.1,broken clouds,11.33,123.9,Chicco's Bed and Breakfast
610,Matara,LK,78.3,light rain,5.95,80.54,Amaloh Boutique Resort
611,Phangnga,TH,77.0,few clouds,8.45,98.53,Rattanapong Hotel
614,Salalah,OM,78.8,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
615,Kihei,US,89.6,scattered clouds,20.79,-156.47,Maui Sunset
616,Bhag,PK,89.96,broken clouds,29.04,67.82,Bukhari hotl
617,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
619,Araouane,ML,89.85,light rain,18.9,-3.53,
625,Nha Trang,VN,80.6,few clouds,12.25,109.18,Hanoi Golden Hotel
627,Idenao,CM,75.2,light intensity drizzle rain,4.25,9.0,Moland Beach Resort
633,Damaturu,NG,79.77,clear sky,11.75,11.96,Summit Conference Centre
636,Padang,ID,76.39,light rain,-0.95,100.35,Mercure Padang
640,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
647,Vila Velha,BR,81.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
648,Akyab,MM,81.77,overcast clouds,20.15,92.9,Hotel Memory
653,Tukrah,LY,78.33,clear sky,32.53,20.58,استراحة لاقروتا
655,Pemangkat,ID,77.92,moderate rain,1.17,108.97,Kost H.Syamsuddin
658,Gizo,SB,81.46,overcast clouds,-8.1,156.84,Imagination Island
663,Bay Saint Louis,US,89.6,scattered clouds,30.31,-89.33,The Abode Guest House
665,Marang,MY,78.8,few clouds,5.21,103.21,DBarakah Homestay
668,Sterling,US,84.99,light rain,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
670,Twin Falls,US,89.6,clear sky,42.56,-114.46,Holiday Inn Express & Suites Twin Falls
679,Fuzhou,CN,78.8,few clouds,26.06,119.31,Shangri La Hotel Fuzhou
680,Lincoln,US,87.01,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
683,Kabin Buri,TH,77.41,overcast clouds,13.95,101.72,At Home Kabinburi
685,Tarija,BO,77.0,clear sky,-21.54,-64.73,Hostal Granny
689,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
691,Marica,BR,87.8,clear sky,-22.92,-42.82,Marica Hills
